1551046554.130, 2.81 2.31 -0.19 -0.63 0.20 0.00
1551046554.130, 3.06 2.00 -0.31 -0.61 0.14 0.01
1551046554.131, 3.06 2.06 -0.38 -0.60 0.10 0.01
1551046554.132, 2.00 1.94 -0.12 -0.69 0.10 0.00
1551046554.132, 1.94 1.75 -0.44 -0.72 0.17 -0.00
1551046554.133, 2.75 2.06 -0.12 -0.63 0.20 0.00
1551046554.134, 2.94 2.12 -0.38 -0.63 0.22 0.00
1551046554.134, 1.88 2.06 -0.44 -0.67 0.21 0.00
1551046554.135, 2.50 2.38 -0.19 -0.63 0.19 0.01
1551046554.135, 2.88 2.44 -0.12 -0.58 0.18 0.01
1551046554.137, 2.50 2.00 -0.25 -0.54 0.15 0.01
1551046554.137, 2.81 1.94 -0.31 -0.52 0.18 0.00
1551046554.138, 2.81 2.31 -0.38 -0.49 0.20 0.00
1551046554.138, 2.81 2.31 -0.25 -0.51 0.23 0.00
1551046554.139, 2.81 2.19 0.00 -0.48 0.21 0.01
1551046554.140, 2.06 2.25 -0.31 -0.60 0.28 -0.00
1551046554.140, 1.94 2.25 -0.88 -0.60 0.21 0.01
1551046554.141, 2.12 2.06 -0.31 -0.67 0.17 0.01
1551046554.141, 2.06 2.12 -0.38 -0.70 0.15 0.01
1551046554.142, 3.06 2.19 -0.50 -0.69 0.18 0.00
1551046554.143, 2.44 2.00 -0.31 -0.63 0.19 0.00
1551046554.143, 1.75 1.88 -0.25 -0.66 0.22 0.00
1551046554.144, 3.25 2.44 -0.12 -0.62 0.16 0.01
1551046554.145, 2.94 2.25 -0.44 -0.57 0.08 0.01
1551046554.145, 2.31 1.81 -0.56 -0.57 0.08 0.00
1551046554.146, 2.50 2.25 -0.50 -0.55 0.12 0.00
1551046554.147, 2.56 2.19 -0.31 -0.57 0.21 -0.00
1551046554.148, 2.88 2.19 -0.38 -0.52 0.20 0.00
1551046554.148, 2.31 2.50 -0.38 -0.53 0.20 0.00
1551046554.149, 1.94 2.38 -0.19 -0.56 0.09 0.01
1551046554.150, 2.75 2.12 -0.31 -0.54 0.13 0.00
1551046554.150, 2.31 2.31 -0.44 -0.54 0.15 0.00
1551046554.151, 1.31 0.94 1.12 -0.52 0.10 0.00
1551046554.151, 1.50 2.00 0.12 -0.55 0.08 0.01
1551046554.152, 2.25 2.06 -0.19 -0.56 0.12 0.00
1551046554.153, 2.94 2.00 -0.31 -0.52 0.08 0.01
1551046554.153, 2.81 1.81 -0.50 -0.54 0.09 0.00
1551046554.154, 2.56 2.44 -0.62 -0.42 0.10 0.01
1551046554.154, 1.94 2.00 -0.44 -0.58 0.07 0.01
1551046554.155, 2.62 2.06 -0.12 -0.54 0.10 0.00
1551046554.156, 2.38 2.19 -0.38 -0.54 0.17 -0.00
1551046554.156, 2.81 2.31 -0.44 -0.51 0.18 0.00
1551046554.157, 3.00 2.44 -0.31 -0.48 0.15 0.01
1551046554.158, 2.56 2.19 -0.12 -0.50 0.10 0.01
1551046554.158, 2.31 2.38 -0.19 -0.49 0.14 0.00
1551046554.159, 3.06 1.75 -0.44 -0.47 0.07 0.01
1551046554.159, 2.38 2.06 -0.69 -0.45 0.04 0.01
1551046554.160, 2.56 2.12 -0.75 -0.47 0.10 0.00
1551046554.161, 2.44 2.19 -0.31 -0.45 0.09 0.01
1551046554.162, 2.31 1.69 -0.69 -0.47 0.08 0.00
1551046554.163, 2.19 1.81 -0.12 -0.50 0.06 0.01
1551046554.163, 2.19 2.44 -0.19 -0.50 0.06 0.01
1551046554.164, 2.62 1.94 -0.31 -0.52 0.04 0.01
1551046554.165, 2.75 2.00 -0.38 -0.48 0.08 0.00
1551046554.165, 1.69 2.00 -0.31 -0.53 0.08 0.00
1551046554.166, 2.19 1.88 -0.06 -0.57 0.09 0.00
1551046554.167, 2.38 2.00 -0.50 -0.52 0.12 0.00
