1551137528.495,Pointer moved to ,(335.58984375, 381.03125)
1551137528.496,Pointer moved to ,(335.58984375, 381.03125)
1551137528.497,Pointer moved to ,(335.58984375, 381.03125)
1551137528.497,Pointer moved to ,(335.58984375, 381.03125)
1551137528.498,Pointer moved to ,(335.58984375, 381.03125)
1551137528.499,Pointer moved to ,(335.58984375, 381.03125)
1551137528.499,Pointer moved to ,(335.58984375, 381.03125)
1551137528.500,Pointer moved to ,(335.58984375, 381.03125)
1551137528.501,Pointer moved to ,(335.58984375, 381.03125)
1551137528.501,Pointer moved to ,(335.58984375, 381.03125)
1551137528.502,Pointer moved to ,(335.58984375, 381.03125)
1551137528.503,Pointer moved to ,(335.58984375, 381.03125)
1551137528.503,Pointer moved to ,(335.58984375, 381.03125)
1551137528.504,Pointer moved to ,(335.58984375, 381.03125)
1551137528.506,Pointer moved to ,(335.58984375, 381.03125)
1551137528.506,Pointer moved to ,(335.58984375, 381.03125)
1551137528.507,Pointer moved to ,(335.58984375, 381.03125)
1551137528.508,Pointer moved to ,(335.58984375, 381.03125)
1551137528.509,Pointer moved to ,(335.58984375, 381.03125)
1551137528.509,Pointer moved to ,(335.58984375, 381.03125)
1551137528.510,Pointer moved to ,(335.58984375, 381.03125)
1551137528.511,Pointer moved to ,(335.58984375, 381.03125)
1551137528.512,Pointer moved to ,(335.58984375, 381.03125)
1551137528.512,Pointer moved to ,(335.58984375, 381.03125)
1551137528.513,Pointer moved to ,(335.58984375, 381.03125)
1551137528.514,Pointer moved to ,(335.58984375, 381.03125)
1551137528.514,Pointer moved to ,(335.58984375, 381.03125)
1551137528.515,Pointer moved to ,(335.58984375, 381.03125)
1551137528.516,Pointer moved to ,(335.58984375, 381.03125)
1551137528.516,Pointer moved to ,(335.58984375, 381.03125)
1551137528.517,Pointer moved to ,(335.58984375, 381.03125)
1551137528.518,Pointer moved to ,(335.58984375, 381.03125)
1551137528.518,Pointer moved to ,(335.58984375, 381.03125)
1551137528.519,Pointer moved to ,(335.58984375, 381.03125)
1551137528.519,Pointer moved to ,(335.58984375, 381.03125)
1551137528.520,Pointer moved to ,(335.58984375, 381.03125)
1551137528.521,Pointer moved to ,(335.58984375, 381.03125)
1551137528.522,Pointer moved to ,(335.58984375, 381.03125)
1551137528.523,Pointer moved to ,(335.58984375, 381.03125)
1551137528.524,Pointer moved to ,(335.58984375, 381.03125)
1551137528.525,Pointer moved to ,(335.58984375, 381.03125)
1551137528.525,Pointer moved to ,(335.58984375, 381.03125)
1551137528.526,Pointer moved to ,(335.58984375, 381.03125)
1551137528.527,Pointer moved to ,(335.58984375, 381.03125)
1551137528.527,Pointer moved to ,(335.58984375, 381.03125)
1551137528.528,Pointer moved to ,(335.58984375, 381.03125)
1551137528.529,Pointer moved to ,(335.58984375, 381.03125)
1551137528.529,Pointer moved to ,(335.58984375, 381.03125)
1551137528.530,Pointer moved to ,(335.58984375, 381.03125)
1551137528.531,Pointer moved to ,(335.58984375, 381.03125)
1551137528.531,Pointer moved to ,(335.58984375, 381.03125)
1551137528.532,Pointer moved to ,(335.58984375, 381.03125)
1551137528.533,Pointer moved to ,(335.58984375, 381.03125)
1551137528.533,Pointer moved to ,(335.58984375, 381.03125)
1551137528.534,Pointer moved to ,(335.58984375, 381.03125)
1551137528.535,Pointer moved to ,(335.58984375, 381.03125)
1551137528.535,Pointer moved to ,(335.58984375, 381.03125)
1551137528.536,Pointer moved to ,(335.58984375, 381.03125)
1551137528.537,Pointer moved to ,(335.58984375, 381.03125)
1551137528.537,Pointer moved to ,(335.58984375, 381.03125)
1551137528.538,Pointer moved to ,(335.58984375, 381.03125)
1551137528.539,Pointer moved to ,(335.58984375, 381.03125)
1551137528.539,Pointer moved to ,(335.58984375, 381.03125)
1551137528.540,Pointer moved to ,(335.58984375, 381.03125)
1551137528.541,Pointer moved to ,(335.58984375, 381.03125)
1551137528.541,Pointer moved to ,(335.58984375, 381.03125)
1551137528.542,Pointer moved to ,(335.58984375, 381.03125)
1551137528.543,Pointer moved to ,(335.58984375, 381.03125)
1551137528.543,Pointer moved to ,(335.58984375, 381.03125)
1551137528.544,Pointer moved to ,(335.58984375, 381.03125)
1551137528.545,Pointer moved to ,(335.58984375, 381.03125)
1551137528.545,Pointer moved to ,(335.58984375, 381.03125)
1551137528.546,Pointer moved to ,(335.58984375, 381.03125)
1551137528.547,Pointer moved to ,(335.58984375, 381.03125)
1551137528.547,Pointer moved to ,(335.58984375, 381.03125)
1551137528.548,Pointer moved to ,(335.58984375, 381.03125)
1551137528.549,Pointer moved to ,(335.58984375, 381.03125)
1551137528.549,Pointer moved to ,(335.58984375, 381.03125)
1551137528.550,Pointer moved to ,(335.58984375, 381.03125)
1551137528.551,Pointer moved to ,(335.58984375, 381.03125)
1551137528.551,Pointer moved to ,(335.58984375, 381.03125)
1551137528.552,Pointer moved to ,(335.58984375, 381.03125)
1551137528.553,Pointer moved to ,(335.58984375, 381.03125)
1551137528.553,Pointer moved to ,(335.58984375, 381.03125)
1551137528.554,Pointer moved to ,(335.58984375, 381.03125)
1551137528.555,Pointer moved to ,(335.58984375, 381.03125)
1551137528.556,Pointer moved to ,(335.58984375, 381.03125)
1551137528.557,Pointer moved to ,(335.58984375, 381.03125)
1551137528.558,Pointer moved to ,(335.58984375, 381.03125)
1551137528.558,Pointer moved to ,(335.58984375, 381.03125)
1551137528.559,Pointer moved to ,(335.58984375, 381.03125)
1551137528.560,Pointer moved to ,(335.58984375, 381.03125)
