1551053546.026, 2.62 1.88 -0.19 -0.22 -0.06 0.01
1551053546.092, 2.62 1.88 -0.12 -0.28 -0.12 0.01
1551053546.159, 2.38 1.75 -0.19 -0.43 -0.08 0.00
1551053546.225, 2.50 1.56 -0.31 -0.58 -0.13 0.01
1551053546.291, 2.50 1.94 -0.25 -0.64 -0.24 0.02
1551053546.357, 2.56 1.75 -0.38 -0.75 -0.24 0.01
1551053546.423, 2.25 1.81 -0.38 -0.78 -0.21 0.01
1551053546.489, 2.19 2.12 -0.12 -0.82 -0.17 0.01
1551053546.555, 2.75 2.31 -0.12 -0.84 -0.15 0.01
1551053546.621, 2.19 2.06 -0.31 -0.87 -0.15 0.01
1551053546.687, 2.31 1.88 -0.12 -0.85 -0.13 0.01
1551053546.752, 2.50 2.06 0.06 -0.90 -0.08 0.00
1551053546.817, 2.62 2.00 0.00 -0.97 -0.15 0.01
1551053546.883, 2.50 1.94 -0.31 -0.97 -0.19 0.01
1551053546.949, 3.12 1.94 -0.19 -0.93 -0.23 0.01
1551053547.014, 2.81 2.19 -0.31 -0.90 -0.20 0.01
1551053547.081, 2.69 2.38 -0.50 -0.96 -0.15 0.01
1551053547.146, 2.56 1.81 0.12 -0.88 -0.23 0.02
1551053547.212, 2.19 2.38 -0.12 -0.94 -0.17 0.01
1551053547.277, 2.06 2.12 -0.12 -0.90 -0.22 0.02
1551053547.344, 2.81 2.25 -0.25 -0.94 -0.26 0.01
1551053547.410, 2.25 1.94 -0.12 -0.88 -0.18 0.00
1551053547.476, 2.62 2.50 -0.06 -0.83 -0.14 0.01
1551053547.541, 1.56 2.19 -0.31 -0.94 -0.07 0.00
1551053547.607, 2.69 2.25 0.00 -0.91 -0.04 0.01
1551053547.673, 2.56 2.19 -0.31 -0.95 -0.14 0.02
1551053547.739, 2.56 2.06 -0.31 -0.89 -0.16 0.01
1551053547.805, 2.88 1.62 -0.38 -0.88 -0.17 0.01
1551053547.871, 2.50 1.44 -0.25 -0.92 -0.28 0.02
1551053547.937, 3.12 2.62 -0.25 -0.93 -0.30 0.02
1551053548.003, 3.25 2.19 -0.44 -0.95 -0.19 0.00
1551053548.069, 2.31 1.94 -0.38 -1.02 -0.16 0.01
1551053548.135, 2.50 2.00 -0.38 -0.95 -0.12 0.01
1551053548.201, 3.56 2.12 -0.12 -0.95 -0.11 0.01
1551053548.267, 2.75 2.44 -0.44 -0.98 -0.17 0.02
1551053548.333, 2.56 2.19 -0.38 -0.99 -0.20 0.01
1551053548.399, 2.38 2.00 -0.31 -0.93 -0.16 0.01
1551053548.465, 2.69 2.44 -0.25 -0.98 -0.17 0.01
1551053548.531, 2.69 2.19 -0.31 -1.00 -0.24 0.02
1551053548.597, 2.56 1.56 -0.38 -1.01 -0.23 0.01
1551053548.663, 2.50 2.25 -0.06 -0.95 -0.20 0.01
1551053548.729, 2.88 1.94 -0.12 -0.98 -0.21 0.01
1551053548.795, 2.56 2.25 -0.38 -0.97 -0.23 0.01
1551053548.860, 2.31 2.31 0.00 -0.96 -0.23 0.01
1551053548.926, 2.38 1.50 -0.19 -1.00 -0.28 0.01
1551053548.991, 2.56 1.88 0.06 -0.98 -0.32 0.01
1551053549.057, 2.31 2.00 -0.19 -0.96 -0.21 0.00
1551053549.121, 3.00 1.75 0.31 -0.97 -0.25 0.01
1551053549.188, 2.69 1.88 -0.06 -0.93 -0.29 0.01
1551053549.254, 3.12 2.06 -0.62 -0.87 -0.31 0.01
1551053549.320, 2.81 2.00 -0.19 -0.81 -0.30 0.01
1551053549.386, 3.50 2.19 -0.50 -0.82 -0.24 0.01
1551053549.452, 3.25 1.88 -0.31 -0.84 -0.27 0.01
